Name #1,Name #2,Event,Location,Stadt,Type,Year,Channel,Uploaded,URL,Views,ID,hidden,Processed
Yarambo,Meidi,,,,Accapella,2025,DLTLLY,2025-04-06,https://www.youtube.com/watch?v=kxIw0Z2ZA6k,7954,kxIw0Z2ZA6k,Interview DISSember8,
Yarambo,Meidi,,,,Accapella,2025,DLTLLY,2025-04-06,https://www.youtube.com/watch?v=UxQTqBKXUfI,56039,UxQTqBKXUfI,  DISSember 8,
HIDING JOHN,JIZI,,,,Accapella,2025,FOB,2025-04-04,https://www.youtube.com/watch?v=GFEPBGtw94I,35329,GFEPBGtw94I,RAP BATTLE,
Craze,Neilz,,,,Accapella,2025,DLTLLY,2025-03-30,https://www.youtube.com/watch?v=lVopiPk8pfE,20280,lVopiPk8pfE,Interview Dissember8,
Craze,Neilz,,,,Accapella,2025,DLTLLY,2025-03-30,https://www.youtube.com/watch?v=3p2GdJMQ6GA,69158,3p2GdJMQ6GA,  Dissember 8,
OREGANO,DAVIE JONES,,,,Accapella,2025,FOB,2025-03-28,https://www.youtube.com/watch?v=vJvkxeKeC3w,44951,vJvkxeKeC3w,RAP BATTLE,
DAVIE JONES,BEASTBOY,,,,Accapella,2025,DLTLLY,2025-03-23,https://www.youtube.com/watch?v=E2s4ZnUUzWo,208711,E2s4ZnUUzWo,Interview NRWeekend 8,
Davie Jones,BEASTBOY,,,,Accapella,2025,DLTLLY,2025-03-23,https://www.youtube.com/watch?v=2gujsLjMnU0,1062164,2gujsLjMnU0,  NRWeekend 8,
JOSEPH STEINSCHLEUDER,VYRUS,,,,Accapella,2025,FOB,2025-03-21,https://www.youtube.com/watch?v=VW9JWWYWTAc,30257,VW9JWWYWTAc,RAP BATTLE,
Aytee,Karanova,,,,Accapella,2025,DLTLLY,2025-03-16,https://www.youtube.com/watch?v=s501ewLwo1w,7825,s501ewLwo1w,Interview Berlin &#39;25,
Aytee,Karanova,,,,On Beat,2025,DLTLLY,2025-03-16,https://www.youtube.com/watch?v=SYo3zBQzwtQ,105369,SYo3zBQzwtQ,🏆 ON BEAT TITLE MATCH 2025 🏆,
KALP ONE,VALIK,,,,Accapella,2024,FOB,2025-03-14,https://www.youtube.com/watch?v=pJA2VSeUyrw,5925,pJA2VSeUyrw,RAP BATTLE,
